# Rocketfuel topology converted to ndnSIM format
# Nodes: 1200, Links: 860
# Bandwidth: 10Gbps, Delay: 2ms

router

# node	comment	yPos	xPos
Node487	New+York+NY	46	60
Node488	Stockton+CA	82	105
Node489	Orlando+FL	22	63
Node490	Chicago+IL	124	21
Node491	Chicago+IL	126	21
Node492	Pennsauken+NJ	90	72
Node493	Anaheim+CA	46	3
Node494	Relay+MD	72	78
Node495	New+York+NY	48	60
Node496	Washington+DC	20	120
Node497	Dallas+TX	122	27
Node498	Chicago+IL	128	21
Node499	Kansas+City+MO	44	42
Node500	Relay+MD	74	78
Node501	Relay+MD	76	78
Node502	Anaheim+CA	48	3
Node503	Anaheim+CA	50	3
Node504	Relay+MD	78	78
Node505	Kansas+City+MO	46	42
Node506	Chicago+IL	130	21
Node507	Stockton+CA	84	105
Node508	Kansas+City+MO	48	42
Node509	Pennsauken+NJ	92	72
Node510	Dallas+TX	124	27
Node511	Pennsauken+NJ	94	72
Node512	Dallas+TX	126	27
Node513	Anaheim+CA	52	3
Node514	Chicago+IL	132	21
Node515	Stockton+CA	86	105
Node516	Atlanta+GA	74	9
Node517	New+York+NY	50	60
Node518	Relay+MD	80	78
Node519	Dallas+TX	128	27
Node520	Atlanta+GA	76	9
Node521	Relay+MD	82	78
Node522	Kansas+City+MO	50	42
Node523	Anaheim+CA	54	3
Node524	Stockton+CA	88	105
Node525	Orlando+FL	24	63
Node526	Stockton+CA	90	105
Node527	Chicago+IL	134	21
Node528	New+York+NY	52	60
Node529	Dallas+TX	130	27
Node530	Chicago+IL	136	21
Node531	Anaheim+CA	56	3
Node532	Chicago+IL	138	21
Node533	Chicago+IL	140	21
Node534	Relay+MD	84	78
Node535	Pennsauken+NJ	96	72
Node536	Chicago+IL	142	21
Node537	Seattle+WA	28	93
Node538	Atlanta+GA	78	9
Node539	Chicago+IL	144	21
Node540	New+York+NY	54	60
Node541	Anaheim+CA	58	3
Node542	Kansas+City+MO	52	42
Node543	Orlando+FL	26	63
Node544	Atlanta+GA	80	9
Node545	Dallas+TX	132	27
Node546	Atlanta+GA	82	9
Node547	Atlanta+GA	84	9
Node548	Relay+MD	86	78
Node549	Chicago+IL	146	21
Node550	Pennsauken+NJ	98	72
Node551	Atlanta+GA	86	9
Node552	Relay+MD	88	78
Node553	Dallas+TX	134	27
Node554	Relay+MD	90	78
Node555	New+York+NY	56	60
Node556	Dallas+TX	136	27
Node557	Dallas+TX	138	27
Node558	Dallas+TX	140	27
Node559	Chicago+IL	148	21
Node560	Atlanta+GA	88	9
Node561	Pennsauken+NJ	100	72
Node562	Chicago+IL	150	21
Node563	Relay+MD	92	78
Node564	Pennsauken+NJ	102	72
Node565	Relay+MD	94	78
Node566	Pennsauken+NJ	104	72
Node567	New+York+NY	58	60
Node568	New+York+NY	60	60
Node569	New+York+NY	62	60
Node570	Dallas+TX	142	27
Node571	Atlanta+GA	90	9
Node572	Atlanta+GA	92	9
Node573	Atlanta+GA	94	9
Node574	Stockton+CA	92	105
Node575	Cheyenne+WY	46	18
Node576	Atlanta+GA	96	9
Node577	Dallas+TX	144	27
Node578	Roachdale+IN	18	87
Node579	Kansas+City+MO	54	42
Node580	Relay+MD	96	78
Node581	Anaheim+CA	60	3
Node582	Kansas+City+MO	56	42
Node583	Pennsauken+NJ	106	72
Node584	Dallas+TX	146	27
Node585	Pearl+Harbor+HI	2	69
Node586	Chicago+IL	152	21
Node587	Anaheim+CA	62	3
Node588	Atlanta+GA	98	9
Node589	Pennsauken+NJ	108	72
Node590	Atlanta+GA	100	9
Node591	Anaheim+CA	64	3
Node592	Dallas+TX	148	27
Node593	New+York+NY	64	60
Node594	Cheyenne+WY	48	18
Node595	Atlanta+GA	102	9
Node596	Kansas+City+MO	58	42
Node597	Cheyenne+WY	50	18
Node598	Chicago+IL	154	21
Node599	Seattle+WA	30	93
Node600	Pennsauken+NJ	110	72
Node601	Seattle+WA	32	93
Node602	Kansas+City+MO	60	42
Node603	Orlando+FL	28	63
Node604	Stockton+CA	94	105
Node605	Chicago+IL	156	21
Node606	Pennsauken+NJ	112	72
Node607	Relay+MD	98	78
Node608	Stockton+CA	96	105
Node609	Relay+MD	100	78
Node610	Relay+MD	102	78
Node611	Atlanta+GA	104	9
Node612	Relay+MD	104	78
Node613	Orlando+FL	30	63
Node614	Relay+MD	106	78
Node615	Stockton+CA	98	105
Node616	Stockton+CA	100	105
Node617	Cheyenne+WY	52	18
Node618	Chicago+IL	158	21
Node619	Chicago+IL	160	21
Node620	Orlando+FL	32	63
Node621	Stockton+CA	102	105
Node622	Dallas+TX	150	27
Node623	Anaheim+CA	66	3
Node624	Anaheim+CA	68	3
Node625	Kansas+City+MO	62	42
Node626	Relay+MD	108	78
Node627	Dallas+TX	152	27
Node628	Dallas+TX	154	27
Node629	Stockton+CA	104	105
Node630	Dallas+TX	156	27
Node631	Dallas+TX	158	27
Node632	Pennsauken+NJ	114	72
Node633	Atlanta+GA	106	9
Node634	Ashburn+VA	0	6
Node635	Kansas+City+MO	64	42
Node636	Anaheim+CA	70	3
Node637	Cheyenne+WY	54	18
Node638	Cheyenne+WY	56	18
Node639	T	80	111
Node640	T	82	111
Node641	Cheyenne+WY	58	18
Node642	Pennsauken+NJ	116	72
Node643	Pennsauken+NJ	118	72
Node644	Dallas+TX	160	27
Node645	Pennsauken+NJ	120	72
Node646	Orlando+FL	34	63
Node647	Roachdale+IN	20	87
Node648	Kansas+City+MO	66	42
Node649	New+York+NY	66	60
Node650	Pennsauken+NJ	122	72
Node651	Kansas+City+MO	68	42
Node652	New+York+NY	68	60
Node653	Kansas+City+MO	70	42
Node654	Pennsauken+NJ	124	72
Node655	Pennsauken+NJ	126	72
Node656	Atlanta+GA	108	9
Node657	Relay+MD	110	78
Node658	Chicago+IL	162	21
Node659	Relay+MD	112	78
Node660	Pennsauken+NJ	128	72
Node661	Dallas+TX	162	27
Node662	Seattle+WA	34	93
Node663	Relay+MD	114	78
Node664	Relay+MD	116	78
Node665	Stockton+CA	106	105
Node666	Cheyenne+WY	60	18
Node667	Stockton+CA	108	105
Node668	Chicago+IL	164	21
Node669	Chicago+IL	166	21
Node670	Chicago+IL	168	21
Node671	Dallas+TX	164	27
Node672	Relay+MD	118	78
Node673	Dallas+TX	166	27
Node674	Chicago+IL	170	21
Node675	Anaheim+CA	72	3
Node676	Pennsauken+NJ	130	72
Node677	Stockton+CA	110	105
Node678	Chicago+IL	172	21
Node679	Orlando+FL	36	63
Node680	Relay+MD	120	78
Node681	Atlanta+GA	110	9
Node682	Relay+MD	122	78
Node683	Tacoma+WA	14	114
Node684	Chicago+IL	174	21
Node685	Chicago+IL	176	21
Node686	Atlanta+GA	112	9
Node687	New+York+NY	70	60
Node688	Washington+DC	22	120
Node689	Washington+DC	24	120
Node690	Pennsauken+NJ	132	72
Node691	Cheyenne+WY	62	18
Node692	Relay+MD	124	78
Node693	Chicago+IL	178	21
Node694	Roachdale+IN	22	87
Node695	Chicago+IL	180	21
Node696	Chicago+IL	182	21
Node697	Dallas+TX	168	27
Node698	Atlanta+GA	114	9
Node699	Anaheim+CA	74	3
Node700	New+York+NY	72	60
Node701	Dallas+TX	170	27
Node702	Anaheim+CA	76	3
Node703	Atlanta+GA	116	9
Node704	Chicago+IL	184	21
Node705	Chicago+IL	186	21
Node706	Kansas+City+MO	72	42
Node707	Relay+MD	126	78
Node708	Atlanta+GA	118	9
Node709	Dallas+TX	172	27
Node710	Pennsauken+NJ	134	72
Node711	Chicago+IL	188	21
Node712	New+York+NY	74	60
Node713	Dallas+TX	174	27
Node714	Relay+MD	128	78
Node715	Pennsauken+NJ	136	72
Node716	Dallas+TX	176	27
Node717	Chicago+IL	190	21
Node718	Atlanta+GA	120	9
Node719	Pennsauken+NJ	138	72
Node720	Relay+MD	130	78
Node721	Washington+DC	26	120
Node722	Chicago+IL	192	21
Node723	Stockton+CA	112	105
Node724	Atlanta+GA	122	9
Node725	Chicago+IL	194	21
Node726	Dallas+TX	178	27
Node727	New+York+NY	76	60
Node728	Stockton+CA	114	105
Node729	Pennsauken+NJ	140	72
Node730	Anaheim+CA	78	3
Node731	Anaheim+CA	80	3
Node732	T	84	111
Node733	Pennsauken+NJ	142	72
Node734	Roachdale+IN	24	87
Node735	Relay+MD	132	78
Node736	Kansas+City+MO	74	42
Node737	Chicago+IL	196	21
Node738	Dallas+TX	180	27
Node739	Atlanta+GA	124	9
Node740	T	86	111
Node741	Kansas+City+MO	76	42
Node742	Relay+MD	134	78
Node743	Anaheim+CA	82	3
Node744	Roachdale+IN	26	87
Node745	Anaheim+CA	84	3
Node746	Chicago+IL	198	21
Node747	New+York+NY	78	60
Node748	Atlanta+GA	126	9
Node749	Chicago+IL	200	21
Node750	Chicago+IL	202	21
Node751	Relay+MD	136	78
Node752	Relay+MD	138	78
Node753	Anaheim+CA	86	3
Node754	London+UnitedKingdom	6	48
Node755	Dallas+TX	182	27
Node756	Tacoma+WA	16	114
Node757	Chicago+IL	204	21
Node758	Atlanta+GA	128	9
Node759	Chicago+IL	206	21
Node760	Pennsauken+NJ	144	72
Node761	Stockton+CA	116	105
Node762	Orlando+FL	38	63
Node763	Stockton+CA	118	105
Node764	Pennsauken+NJ	146	72
Node765	Washington+DC	28	120
Node766	Dallas+TX	184	27
Node767	Dallas+TX	186	27
Node768	Pennsauken+NJ	148	72
Node769	Washington+DC	30	120
Node770	Chicago+IL	208	21
Node771	Stockton+CA	120	105
Node772	Chicago+IL	210	21
Node773	Dallas+TX	188	27
Node774	Chicago+IL	212	21
Node775	Chicago+IL	214	21
Node776	Atlanta+GA	130	9
Node777	Atlanta+GA	132	9
Node778	Anaheim+CA	88	3
Node779	Relay+MD	140	78
Node780	Pennsauken+NJ	150	72
Node781	Orlando+FL	40	63
Node782	Pennsauken+NJ	152	72
Node783	New+York+NY	80	60
Node784	New+York+NY	82	60
Node785	New+York+NY	84	60
Node786	New+York+NY	86	60
Node787	New+York+NY	88	60
Node788	New+York+NY	90	60
Node789	Orlando+FL	42	63
Node790	Relay+MD	142	78
Node791	Washington+DC	32	120
Node792	Dallas+TX	190	27
Node793	Cheyenne+WY	64	18
Node794	Orlando+FL	44	63
Node795	Anaheim+CA	90	3
Node796	Stockton+CA	122	105
Node797	Seattle+WA	36	93
Node798	Relay+MD	144	78
Node799	Kansas+City+MO	78	42
Node800	Stockton+CA	124	105
Node801	Stockton+CA	126	105
Node802	San+Jose+CA	8	90
Node803	Relay+MD	146	78
Node804	Pennsauken+NJ	154	72
Node805	Dallas+TX	192	27
Node806	Atlanta+GA	134	9
Node807	Orlando+FL	46	63
Node808	New+York+NY	92	60
Node809	Pennsauken+NJ	156	72
Node810	Atlanta+GA	136	9
Node811	Roachdale+IN	28	87
Node812	Anaheim+CA	92	3
Node813	Dallas+TX	194	27
Node814	Dallas+TX	196	27
Node815	Pennsauken+NJ	158	72
Node816	Tacoma+WA	18	114
Node817	Stockton+CA	128	105
Node818	Anaheim+CA	94	3
Node819	Pennsauken+NJ	160	72
Node820	Stockton+CA	130	105
Node821	Pennsauken+NJ	162	72
Node822	Dallas+TX	198	27
Node823	Anaheim+CA	96	3
Node824	Pennsauken+NJ	164	72
Node825	Atlanta+GA	138	9
Node826	Atlanta+GA	140	9
Node827	Atlanta+GA	142	9
Node828	Kansas+City+MO	80	42
Node829	Chicago+IL	216	21
Node830	New+York+NY	94	60
Node831	Cheyenne+WY	66	18
Node832	Atlanta+GA	144	9
Node833	Dallas+TX	200	27
Node834	Stockton+CA	132	105
Node835	Relay+MD	148	78
Node836	Anaheim+CA	98	3
Node837	Atlanta+GA	146	9
