# Rocketfuel topology converted to ndnSIM format
# Nodes: 700, Links: 2279
# Bandwidth: 10Gbps, Delay: 2ms

router

# node	comment	yPos	xPos
Node494	Pennsauken+NJ	74	78
Node495	Stockton+CA	62	117
Node496	Anaheim+CA	64	3
Node497	Chicago+IL	72	21
Node498	Dallas+TX	72	27
Node499	New+York+NY	106	66
Node500	Pennsauken+NJ	76	78
Node501	Pennsauken+NJ	78	78
Node502	Anaheim+CA	66	3
Node503	Chicago+IL	74	21
Node504	Chicago+IL	76	21
Node505	Dallas+TX	74	27
Node506	Pennsauken+NJ	80	78
Node507	Pennsauken+NJ	82	78
Node508	Stockton+CA	64	117
Node509	Anaheim+CA	68	3
Node510	Atlanta+GA	56	9
Node511	Cheyenne+WY	32	18
Node512	Cheyenne+WY	34	18
Node513	Cheyenne+WY	36	18
Node514	Cheyenne+WY	38	18
Node515	Cheyenne+WY	40	18
Node516	Chicago+IL	78	21
Node517	Washington+DC	22	132
Node518	Kansas+City+MO	36	45
Node519	New+York+NY	108	66
Node520	Orlando+FL	30	69
Node521	Pennsauken+NJ	84	78
Node522	Roachdale+IN	14	96
Node523	Seattle+WA	38	105
Node524	San+Jose+CA	42	99
Node525	Chicago+IL	80	21
Node526	Chicago+IL	82	21
Node527	Dallas+TX	76	27
Node528	Dallas+TX	78	27
Node529	Dallas+TX	80	27
Node530	Dallas+TX	82	27
Node531	Pennsauken+NJ	86	78
Node532	Chicago+IL	84	21
Node533	Chicago+IL	86	21
Node534	Chicago+IL	88	21
Node535	Chicago+IL	90	21
Node536	Chicago+IL	92	21
Node537	Dallas+TX	84	27
Node538	Dallas+TX	86	27
Node539	Dallas+TX	88	27
Node540	New+York+NY	110	66
Node541	Pennsauken+NJ	88	78
Node542	Chicago+IL	94	21
Node543	Pennsauken+NJ	90	78
Node544	Chicago+IL	96	21
Node545	Chicago+IL	98	21
Node546	Chicago+IL	100	21
Node547	Pennsauken+NJ	92	78
Node548	Chicago+IL	102	21
Node549	Chicago+IL	104	21
Node550	Dallas+TX	90	27
Node551	Dallas+TX	92	27
Node552	Pennsauken+NJ	94	78
Node553	Dallas+TX	94	27
Node554	Dallas+TX	96	27
Node555	Pennsauken+NJ	96	78
Node556	Chicago+IL	106	21
Node557	Dallas+TX	98	27
Node558	Pennsauken+NJ	98	78
Node559	Dallas+TX	100	27
Node560	Dallas+TX	102	27
Node561	Dallas+TX	104	27
Node562	Pennsauken+NJ	100	78
Node563	Pennsauken+NJ	102	78
Node564	Anaheim+CA	70	3
Node565	Anaheim+CA	72	3
Node566	Atlanta+GA	58	9
Node567	Chicago+IL	108	21
Node568	Washington+DC	24	132
Node569	Dallas+TX	106	27
Node570	Kansas+City+MO	38	45
Node571	Orlando+FL	32	69
Node572	Pennsauken+NJ	104	78
Node573	Pennsauken+NJ	106	78
Node574	Relay+MD	82	84
Node575	Relay+MD	84	84
Node576	Relay+MD	86	84
Node577	Relay+MD	88	84
Node578	Roachdale+IN	16	96
Node579	Roachdale+IN	18	96
Node580	Seattle+WA	40	105
Node581	San+Jose+CA	44	99
Node582	Springfield+MA	10	111
Node583	Stockton+CA	66	117
Node584	Tacoma+WA	22	126
Node585	Dallas+TX	108	27
Node586	Dallas+TX	110	27
Node587	Dallas+TX	112	27
Node588	Anaheim+CA	74	3
Node589	Atlanta+GA	60	9
Node590	Cheyenne+WY	42	18
Node591	Cheyenne+WY	44	18
Node592	Chicago+IL	110	21
Node593	Washington+DC	26	132
Node594	Dallas+TX	114	27
Node595	Dallas+TX	116	27
Node596	Kansas+City+MO	40	45
Node597	Orlando+FL	34	69
Node598	Orlando+FL	36	69
Node599	Orlando+FL	38	69
Node600	Orlando+FL	40	69
Node601	Pennsauken+NJ	108	78
Node602	Relay+MD	90	84
Node603	Relay+MD	92	84
Node604	Roachdale+IN	20	96
Node605	Seattle+WA	42	105
Node606	San+Jose+CA	46	99
Node607	Stockton+CA	68	117
Node608	Tacoma+WA	24	126
Node609	Anaheim+CA	76	3
Node610	Anaheim+CA	78	3
Node611	Atlanta+GA	62	9
Node612	Chicago+IL	112	21
Node613	Washington+DC	28	132
Node614	Dallas+TX	118	27
Node615	Kansas+City+MO	42	45
Node616	Kansas+City+MO	44	45
Node617	New+York+NY	112	66
Node618	Orlando+FL	42	69
Node619	Orlando+FL	44	69
Node620	Pennsauken+NJ	110	78
Node621	Pennsauken+NJ	112	78
Node622	Relay+MD	94	84
Node623	Roachdale+IN	22	96
Node624	Roachdale+IN	24	96
Node625	San+Jose+CA	48	99
Node626	Springfield+MA	12	111
Node627	Stockton+CA	70	117
Node628	Tacoma+WA	26	126
Node629	Anaheim+CA	80	3
Node630	Atlanta+GA	64	9
Node631	Cheyenne+WY	46	18
Node632	Cheyenne+WY	48	18
Node633	Chicago+IL	114	21
Node634	Chicago+IL	116	21
Node635	Washington+DC	30	132
Node636	Dallas+TX	120	27
Node637	Kansas+City+MO	46	45
Node638	Kansas+City+MO	48	45
Node639	Kansas+City+MO	50	45
Node640	Pennsauken+NJ	114	78
Node641	Roachdale+IN	26	96
Node642	Seattle+WA	44	105
Node643	San+Jose+CA	50	99
Node644	Stockton+CA	72	117
Node645	Tacoma+WA	28	126
Node646	Tacoma+WA	30	126
Node647	Anaheim+CA	82	3
Node648	Atlanta+GA	66	9
Node649	Washington+DC	32	132
Node650	Washington+DC	34	132
Node651	Washington+DC	36	132
Node652	Dallas+TX	122	27
Node653	Dallas+TX	124	27
Node654	Kansas+City+MO	52	45
Node655	Orlando+FL	46	69
Node656	Pennsauken+NJ	116	78
Node657	Seattle+WA	46	105
Node658	San+Jose+CA	52	99
Node659	San+Jose+CA	54	99
Node660	San+Jose+CA	56	99
Node661	San+Jose+CA	58	99
Node662	Stockton+CA	74	117
Node663	Anaheim+CA	84	3
Node664	Atlanta+GA	68	9
Node665	Cheyenne+WY	50	18
Node666	Cheyenne+WY	52	18
Node667	Chicago+IL	118	21
Node668	Chicago+IL	120	21
Node669	Washington+DC	38	132
Node670	Dallas+TX	126	27
Node671	Kansas+City+MO	54	45
Node672	Kansas+City+MO	56	45
Node673	Kansas+City+MO	58	45
Node674	New+York+NY	114	66
Node675	New+York+NY	116	66
Node676	Orlando+FL	48	69
Node677	Pennsauken+NJ	118	78
Node678	Pennsauken+NJ	120	78
Node679	Relay+MD	96	84
Node680	Seattle+WA	48	105
Node681	San+Jose+CA	60	99
Node682	Stockton+CA	76	117
Node683	Stockton+CA	78	117
Node684	Chicago+IL	122	21
Node685	Pennsauken+NJ	122	78
Node686	Pennsauken+NJ	124	78
Node687	Atlanta+GA	70	9
Node688	Chicago+IL	124	21
Node689	Washington+DC	40	132
Node690	Dallas+TX	128	27
Node691	Kansas+City+MO	60	45
Node692	New+York+NY	118	66
Node693	Orlando+FL	50	69
Node694	Pennsauken+NJ	126	78
Node695	Relay+MD	98	84
Node696	Seattle+WA	50	105
Node697	San+Jose+CA	62	99
Node698	Ashburn+VA	0	6
Node699	Ashburn+VA	2	6

link

# srcNode	dstNode	bandwidth	metric	delay	queue
Node0	Node100	10Gbps	1	2ms	100
Node0	Node143	10Gbps	1	2ms	100
Node0	Node144	10Gbps	1	2ms	100
Node0	Node170	10Gbps	1	2ms	100
Node0	Node237	10Gbps	1	2ms	100
Node0	Node294	10Gbps	1	2ms	100
Node1	Node21	10Gbps	1	2ms	100
Node1	Node40	10Gbps	1	2ms	100
Node1	Node93	10Gbps	1	2ms	100
Node1	Node97	10Gbps	1	2ms	100
Node1	Node105	10Gbps	1	2ms	100
Node1	Node116	10Gbps	1	2ms	100
Node1	Node269	10Gbps	1	2ms	100
Node1	Node325	10Gbps	1	2ms	100
Node1	Node353	10Gbps	1	2ms	100
Node1	Node394	10Gbps	1	2ms	100
Node1	Node447	10Gbps	1	2ms	100
Node1	Node476	10Gbps	1	2ms	100
Node1	Node479	10Gbps	1	2ms	100
Node1	Node486	10Gbps	1	2ms	100
Node1	Node497	10Gbps	1	2ms	100
Node1	Node503	10Gbps	1	2ms	100
Node1	Node525	10Gbps	1	2ms	100
Node1	Node532	10Gbps	1	2ms	100
Node1	Node542	10Gbps	1	2ms	100
Node1	Node548	10Gbps	1	2ms	100
Node1	Node567	10Gbps	1	2ms	100
Node1	Node633	10Gbps	1	2ms	100
Node1	Node667	10Gbps	1	2ms	100
Node2	Node13	10Gbps	1	2ms	100
Node2	Node75	10Gbps	1	2ms	100
Node2	Node77	10Gbps	1	2ms	100
Node2	Node126	10Gbps	1	2ms	100
Node2	Node303	10Gbps	1	2ms	100
Node2	Node304	10Gbps	1	2ms	100
Node2	Node333	10Gbps	1	2ms	100
Node2	Node580	10Gbps	1	2ms	100
Node3	Node144	10Gbps	1	2ms	100
Node3	Node194	10Gbps	1	2ms	100
Node3	Node551	10Gbps	1	2ms	100
Node3	Node557	10Gbps	1	2ms	100
Node4	Node77	10Gbps	1	2ms	100
Node4	Node81	10Gbps	1	2ms	100
Node4	Node85	10Gbps	1	2ms	100
Node4	Node97	10Gbps	1	2ms	100
Node4	Node161	10Gbps	1	2ms	100
Node4	Node162	10Gbps	1	2ms	100
Node4	Node232	10Gbps	1	2ms	100
Node4	Node262	10Gbps	1	2ms	100
Node4	Node584	10Gbps	1	2ms	100
Node4	Node608	10Gbps	1	2ms	100
Node4	Node628	10Gbps	1	2ms	100
Node4	Node646	10Gbps	1	2ms	100
Node5	Node75	10Gbps	1	2ms	100
Node5	Node76	10Gbps	1	2ms	100
Node5	Node77	10Gbps	1	2ms	100
Node5	Node125	10Gbps	1	2ms	100
Node5	Node257	10Gbps	1	2ms	100
Node6	Node82	10Gbps	1	2ms	100
Node6	Node83	10Gbps	1	2ms	100
Node6	Node131	10Gbps	1	2ms	100
Node6	Node132	10Gbps	1	2ms	100
Node6	Node376	10Gbps	1	2ms	100
Node7	Node27	10Gbps	1	2ms	100
Node7	Node105	10Gbps	1	2ms	100
Node7	Node106	10Gbps	1	2ms	100
Node7	Node145	10Gbps	1	2ms	100
Node7	Node169	10Gbps	1	2ms	100
Node7	Node170	10Gbps	1	2ms	100
Node8	Node122	10Gbps	1	2ms	100
Node9	Node32	10Gbps	1	2ms	100
Node10	Node145	10Gbps	1	2ms	100
Node11	Node70	10Gbps	1	2ms	100
Node11	Node71	10Gbps	1	2ms	100
Node11	Node72	10Gbps	1	2ms	100
Node11	Node154	10Gbps	1	2ms	100
Node11	Node155	10Gbps	1	2ms	100
Node11	Node156	10Gbps	1	2ms	100
Node11	Node157	10Gbps	1	2ms	100
Node12	Node91	10Gbps	1	2ms	100
Node12	Node94	10Gbps	1	2ms	100
Node12	Node107	10Gbps	1	2ms	100
Node12	Node551	10Gbps	1	2ms	100
Node13	Node17	10Gbps	1	2ms	100
Node13	Node20	10Gbps	1	2ms	100
Node13	Node420	10Gbps	1	2ms	100
Node14	Node60	10Gbps	1	2ms	100
